id,name,address,lat,lng,hours,quick,slow
5640,수선화시영연립주택 인근주차장,제주특별자치도 제주시 이도이동 1928-9,33.49469371,126.549729,24시간,2,0
5703,봉개동 공영주차장,제주특별자치도 제주시 봉개동 1854-3,33.49031067,126.5955778,24시간,2,0
5792,서귀포시 상예동 다목적회관,제주특별자치도 서귀포시 상예동 1526-1,33.25357793,126.3894448,24시간,2,0
5801,삼양축구장,제주특별자치도 제주시 삼양일동 745,33.53235934,126.597834,24시간,1,0
5802,4.3평화교육센터,제주특별자치도 제주시 봉개동 237-2,33.45330437,126.6197539,24시간,0,0
5803,농어업인회관,제주특별자치도 제주시 연동 313-105,33.48658118,126.4989474,24시간,1,0
5804,동복리체육센터,제주특별자치도 제주시 구좌읍 동복리 1717,33.54355429,126.7077667,24시간,1,0
5806,용담삼동공영주차장,제주특별자치도 제주시 용담삼동 1210-5,33.5174216,126.499324,24시간,2,0
8134,서귀포지사(공용),제주특별자치도 서귀포시 신중로 56,33.254374,126.510819,24시간,3,7
8135,제주전력지사(공용),제주특별자치도 제주시 가령로 68,33.498596,126.536653,24시간,1,4
8136,제주직할(공용),제주특별자치도 제주시 연동 322-2,33.48903714,126.5013017,24시간,2,13
